"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 07월 14일","26,491.0","25,986.0","26,575.0","25,874.0","296.50K","2.01%"
"2020년 07월 13일","25,968.0","26,025.0","26,524.0","25,914.0","265.05K","-0.03%"
"2020년 07월 10일","25,977.0","25,589.0","26,003.0","25,293.0","229.59K","1.59%"
"2020년 07월 09일","25,571.0","25,995.0","26,029.0","25,397.0","239.99K","-1.53%"
"2020년 07월 08일","25,969.0","25,770.0","25,999.0","25,661.0","209.66K","0.77%"
"2020년 07월 07일","25,770.0","26,167.0","26,280.0","25,741.0","192.27K","-1.56%"
"2020년 07월 06일","26,179.0","25,689.0","26,197.0","25,657.0","255.60K","2.15%"
"2020년 07월 03일","25,627.5","25,735.5","25,877.0","25,440.5","-","-0.51%"
"2020년 07월 02일","25,759.0","25,549.0","26,088.0","25,515.0","201.49K","0.72%"
"2020년 07월 01일","25,575.0","25,653.0","25,893.0","25,381.0","218.37K","-0.44%"
"2020년 06월 30일","25,689.0","25,479.0","25,772.0","25,301.0","200.32K","0.75%"
"2020년 06월 29일","25,497.0","24,777.0","25,543.0","24,743.0","225.69K","2.19%"
"2020년 06월 26일","24,950.0","25,540.0","25,653.0","24,837.0","262.64K","-2.52%"
"2020년 06월 25일","25,596.0","25,379.0","25,659.0","25,003.0","263.06K","0.80%"
"2020년 06월 24일","25,393.0","25,986.0","26,134.0","25,159.0","281.37K","-2.41%"
"2020년 06월 23일","26,020.0","25,955.0","26,294.0","25,514.0","200.22K","0.26%"
"2020년 06월 22일","25,953.0","25,370.0","25,987.0","25,230.0","176.36K","-2.01%"
"2020년 06월 19일","26,484.2","26,059.0","26,480.0","25,985.0","2.45K","1.77%"
"2020년 06월 18일","26,024.0","26,141.0","26,275.0","25,743.0","33.19K","-0.48%"
"2020년 06월 17일","26,150.0","26,249.0","26,623.0","26,049.0","60.28K","-0.65%"
"2020년 06월 16일","26,320.0","25,834.0","26,779.0","25,789.0","141.05K","2.00%"
"2020년 06월 15일","25,805.0","25,176.0","25,884.0","24,550.0","170.68K","1.05%"
"2020년 06월 12일","25,536.0","25,200.0","25,952.0","25,064.0","274.20K","1.47%"
"2020년 06월 11일","25,165.0","26,954.0","26,997.0","25,060.0","454.09K","-6.66%"
"2020년 06월 10일","26,961.0","27,257.0","27,488.0","26,901.0","266.71K","-1.11%"
"2020년 06월 09일","27,264.0","27,562.0","27,624.0","27,126.0","222.34K","-0.96%"
"2020년 06월 08일","27,527.0","27,124.0","27,563.0","27,031.0","191.22K","1.68%"
"2020년 06월 05일","27,072.0","26,283.0","27,325.0","26,212.0","295.07K","3.12%"
"2020년 06월 04일","26,253.0","26,265.0","26,368.0","26,056.0","227.97K","0.10%"
"2020년 06월 03일","26,228.0","25,701.0","26,328.0","25,679.0","181.75K","2.05%"
"2020년 06월 02일","25,701.0","25,458.0","25,720.0","25,291.0","174.04K","0.93%"
"2020년 06월 01일","25,463.0","25,231.0","25,519.0","25,089.0","175.63K","0.33%"
"2020년 05월 29일","25,378.0","25,448.0","25,500.0","24,991.0","268.92K","-0.31%"
"2020년 05월 28일","25,457.0","25,543.0","25,794.0","25,311.0","230.29K","-0.30%"
"2020년 05월 27일","25,534.0","25,007.0","25,572.0","24,913.0","251.03K","2.13%"
"2020년 05월 26일","25,002.0","24,411.0","25,127.0","24,376.0","252.11K","1.46%"
"2020년 05월 25일","24,642.0","24,547.0","24,734.5","24,432.5","-","0.40%"
"2020년 05월 24일","24,543.5","24,442.5","24,560.0","24,393.0","-","0.49%"
"2020년 05월 22일","24,424.0","24,377.0","24,506.0","24,101.0","194.13K","0.20%"
"2020년 05월 21일","24,376.0","24,545.0","24,660.0","24,300.0","213.84K","-0.58%"
"2020년 05월 20일","24,519.0","24,125.0","24,583.0","24,076.0","192.90K","1.49%"
